epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,85.7395,1.37425,1.84045,1.80061,0.67105,0.73439,0.77313,0.55876,1.09704,1.65179,1.72043,0.00047228,0.00047228,0.00047228
30,88.702,1.3738,1.77884,1.78562,0.64807,0.7838,0.77962,0.56707,1.10067,1.42617,1.68742,0.00047129,0.00047129,0.00047129
31,91.7132,1.29243,1.7245,1.72507,0.63141,0.76996,0.79257,0.58323,1.04887,1.45736,1.64745,0.0004703,0.0004703,0.0004703
32,94.7068,1.28888,1.67967,1.74715,0.76029,0.74079,0.82247,0.59755,1.09365,1.37905,1.62916,0.00046931,0.00046931,0.00046931
33,97.6954,1.32178,1.62961,1.72945,0.76964,0.71504,0.81406,0.60294,1.06337,1.31747,1.61456,0.00046832,0.00046832,0.00046832
34,100.662,1.26593,1.62497,1.69519,0.79176,0.71523,0.83048,0.59047,1.10596,1.37909,1.69631,0.00046733,0.00046733,0.00046733
35,103.619,1.23655,1.58544,1.65815,0.76047,0.75024,0.82387,0.60251,1.06203,1.41822,1.62063,0.00046634,0.00046634,0.00046634
36,106.594,1.2596,1.55585,1.63347,0.73754,0.82419,0.83449,0.62102,1.00627,1.22669,1.53865,0.00046535,0.00046535,0.00046535
37,109.558,1.26842,1.52637,1.64111,0.74747,0.82329,0.84584,0.59986,1.11579,1.21389,1.65756,0.00046436,0.00046436,0.00046436
38,112.499,1.22111,1.46192,1.62148,0.79669,0.80414,0.84068,0.57734,1.19646,1.28173,1.70566,0.00046337,0.00046337,0.00046337
39,115.445,1.1798,1.4717,1.61893,0.82084,0.81495,0.85421,0.64359,0.99363,1.12613,1.51619,0.00046238,0.00046238,0.00046238
40,118.406,1.22596,1.51138,1.60564,0.84969,0.73798,0.85094,0.6416,0.99263,1.13425,1.55098,0.00046139,0.00046139,0.00046139
41,121.364,1.15807,1.42508,1.56143,0.85856,0.79864,0.86057,0.64639,0.97478,1.06585,1.50232,0.0004604,0.0004604,0.0004604
42,124.346,1.19808,1.46686,1.63324,0.85166,0.85218,0.86224,0.63819,1.02728,1.10052,1.54701,0.00045941,0.00045941,0.00045941
43,127.289,1.15373,1.40687,1.59709,0.86796,0.77918,0.86827,0.64622,1.02801,1.21763,1.56292,0.00045842,0.00045842,0.00045842
44,130.268,1.16964,1.42978,1.57104,0.84787,0.8416,0.87028,0.65891,0.96079,1.09849,1.48866,0.00045743,0.00045743,0.00045743
45,133.222,1.13988,1.37583,1.54741,0.82605,0.81864,0.87083,0.66451,0.97095,1.12705,1.52279,0.00045644,0.00045644,0.00045644
46,136.208,1.08775,1.30601,1.51204,0.83786,0.82903,0.87289,0.66442,0.9555,1.10306,1.48623,0.00045545,0.00045545,0.00045545
47,139.182,1.07474,1.24484,1.50028,0.88584,0.81846,0.8759,0.66418,0.9839,0.99481,1.47611,0.00045446,0.00045446,0.00045446
48,142.144,1.13178,1.30199,1.56891,0.83497,0.82646,0.88083,0.60317,1.20387,1.12849,1.66219,0.00045347,0.00045347,0.00045347
49,145.125,1.10518,1.28356,1.50123,0.88392,0.81686,0.88204,0.67606,0.98077,1.03111,1.49742,0.00045248,0.00045248,0.00045248
50,148.117,1.08748,1.28337,1.48443,0.85528,0.82313,0.87864,0.6754,0.92478,0.98788,1.42053,0.00045149,0.00045149,0.00045149
51,151.076,1.07956,1.2505,1.48498,0.80447,0.87916,0.88214,0.65681,0.98352,1.09308,1.47217,0.0004505,0.0004505,0.0004505
52,154.049,1.08063,1.27108,1.49765,0.90014,0.79663,0.88807,0.65034,1.06115,1.02216,1.54633,0.00044951,0.00044951,0.00044951
53,157.004,1.07182,1.22931,1.49929,0.87222,0.85845,0.8887,0.67658,0.94491,0.93772,1.44798,0.00044852,0.00044852,0.00044852
54,159.992,1.11926,1.27384,1.4744,0.87025,0.81532,0.88055,0.67403,0.93819,1.03931,1.44074,0.00044753,0.00044753,0.00044753
55,162.928,1.061,1.20516,1.46678,0.91095,0.84808,0.88397,0.67478,0.93638,0.8711,1.46337,0.00044654,0.00044654,0.00044654
56,165.884,1.03569,1.19699,1.44132,0.88732,0.8521,0.88358,0.67915,0.91686,0.9374,1.42685,0.00044555,0.00044555,0.00044555
57,168.863,1.02756,1.14267,1.44889,0.89115,0.84962,0.88681,0.68547,0.95824,0.91195,1.43251,0.00044456,0.00044456,0.00044456
58,171.831,1.04752,1.15185,1.40578,0.87607,0.84714,0.88069,0.66297,0.98899,0.90525,1.46616,0.00044357,0.00044357,0.00044357
59,174.772,1.01732,1.13806,1.41297,0.89388,0.82495,0.87422,0.66493,0.93827,0.9704,1.43949,0.00044258,0.00044258,0.00044258
60,177.728,1.05924,1.17135,1.46296,0.8953,0.86547,0.87783,0.6797,0.91474,0.86578,1.42669,0.00044159,0.00044159,0.00044159
61,180.675,0.97719,1.06842,1.39179,0.9212,0.84251,0.88066,0.68746,0.91485,0.87248,1.42674,0.0004406,0.0004406,0.0004406
62,183.647,1.04017,1.16866,1.42249,0.85725,0.83847,0.88087,0.67501,0.96188,0.98088,1.45768,0.00043961,0.00043961,0.00043961
63,186.612,1.00427,1.10646,1.38247,0.88373,0.86088,0.89397,0.70357,0.90454,0.8848,1.41708,0.00043862,0.00043862,0.00043862
64,189.582,1.00314,1.04108,1.39803,0.92524,0.86552,0.89207,0.69533,0.8868,0.80605,1.39188,0.00043763,0.00043763,0.00043763
65,192.527,0.99729,1.02893,1.39833,0.93484,0.86642,0.89543,0.70512,0.90512,0.83745,1.41067,0.00043664,0.00043664,0.00043664
66,195.495,1.01221,1.09538,1.40658,0.90032,0.83788,0.89669,0.67796,0.99757,0.9651,1.48269,0.00043565,0.00043565,0.00043565
67,198.454,1.01404,1.08186,1.38968,0.87836,0.86399,0.89019,0.68582,0.88787,0.8063,1.37927,0.00043466,0.00043466,0.00043466
68,201.415,0.9777,1.00977,1.37142,0.89996,0.85338,0.89425,0.70565,0.86479,0.80824,1.36073,0.00043367,0.00043367,0.00043367
69,204.387,1.01053,1.05076,1.37083,0.89179,0.85276,0.90283,0.69496,0.88926,0.80244,1.37906,0.00043268,0.00043268,0.00043268
70,207.336,0.99367,1.02941,1.35838,0.8809,0.84902,0.89539,0.70065,0.88212,0.86216,1.37296,0.00043169,0.00043169,0.00043169
71,210.294,0.99339,1.03035,1.37536,0.89941,0.85409,0.8882,0.69791,0.89572,0.83119,1.3632,0.0004307,0.0004307,0.0004307
72,213.255,0.98436,1.02766,1.34646,0.92702,0.85254,0.89286,0.6961,0.89308,0.77536,1.36767,0.00042971,0.00042971,0.00042971
73,216.219,0.98529,1.06951,1.39785,0.89824,0.85818,0.8889,0.68925,0.90683,0.81254,1.37675,0.00042872,0.00042872,0.00042872
74,219.153,0.98481,1.03791,1.35488,0.91697,0.85845,0.89288,0.68606,0.91715,0.7708,1.38672,0.00042773,0.00042773,0.00042773
75,222.115,0.96371,1.03934,1.38245,0.91352,0.87655,0.89343,0.69997,0.9123,0.79265,1.39323,0.00042674,0.00042674,0.00042674
76,225.094,0.95616,0.97469,1.32874,0.91301,0.85304,0.89139,0.69891,0.88706,0.8317,1.35997,0.00042575,0.00042575,0.00042575
77,228.047,0.94403,0.94151,1.3366,0.91718,0.86427,0.89126,0.71358,0.85572,0.76759,1.34711,0.00042476,0.00042476,0.00042476
78,231.015,0.92957,0.93959,1.31424,0.842,0.88259,0.89159,0.69579,0.89057,0.82271,1.37526,0.00042377,0.00042377,0.00042377
79,233.956,0.9294,0.9766,1.34,0.89321,0.8866,0.88931,0.69512,0.88054,0.78123,1.35828,0.00042278,0.00042278,0.00042278
80,236.915,0.9436,0.95674,1.34362,0.91529,0.82826,0.89314,0.70258,0.85837,0.76854,1.34501,0.00042179,0.00042179,0.00042179
81,239.86,0.96113,0.96605,1.33528,0.89757,0.87353,0.89692,0.70828,0.85555,0.75281,1.34283,0.0004208,0.0004208,0.0004208
82,242.82,0.94322,0.98158,1.33045,0.92003,0.86195,0.88888,0.67962,0.9684,0.76508,1.42685,0.00041981,0.00041981,0.00041981
83,245.785,0.93683,0.92331,1.34345,0.89127,0.86342,0.89532,0.70685,0.86623,0.79298,1.34019,0.00041882,0.00041882,0.00041882
84,248.725,0.96395,0.99131,1.32687,0.93567,0.85402,0.89643,0.71257,0.84608,0.72823,1.33967,0.00041783,0.00041783,0.00041783
85,251.686,0.95487,0.96164,1.32342,0.91644,0.8619,0.89298,0.70209,0.86306,0.73108,1.35075,0.00041684,0.00041684,0.00041684
86,254.646,0.90122,0.96375,1.3038,0.88894,0.83749,0.88859,0.68809,0.90702,0.82412,1.38041,0.00041585,0.00041585,0.00041585
87,257.592,0.92737,0.96421,1.29324,0.92378,0.8581,0.89051,0.7031,0.85863,0.74717,1.33911,0.00041486,0.00041486,0.00041486
88,260.549,0.91765,0.94513,1.3223,0.91211,0.86121,0.88888,0.69778,0.87758,0.79982,1.34666,0.00041387,0.00041387,0.00041387
89,263.524,0.91282,0.93177,1.30494,0.93211,0.86738,0.9015,0.71427,0.86902,0.72733,1.34813,0.00041288,0.00041288,0.00041288
90,266.506,0.93354,0.93092,1.31096,0.91612,0.85506,0.89789,0.70855,0.86755,0.78607,1.33433,0.00041189,0.00041189,0.00041189
91,269.464,0.92761,0.94331,1.31195,0.88839,0.88812,0.90212,0.71189,0.87302,0.78651,1.34792,0.0004109,0.0004109,0.0004109
92,272.42,0.93782,0.91297,1.30376,0.93071,0.87198,0.90636,0.71857,0.8483,0.7104,1.32774,0.00040991,0.00040991,0.00040991
93,275.388,0.92397,0.93927,1.32851,0.93732,0.87791,0.90991,0.71648,0.84891,0.70635,1.32648,0.00040892,0.00040892,0.00040892
94,278.367,0.92107,0.88867,1.28187,0.94343,0.86348,0.90947,0.71648,0.84258,0.75985,1.31985,0.00040793,0.00040793,0.00040793
95,281.321,0.92168,0.88347,1.29741,0.93606,0.87122,0.90598,0.69673,0.93528,0.71729,1.3882,0.00040694,0.00040694,0.00040694
96,284.289,0.89627,0.89296,1.30354,0.92395,0.86667,0.90763,0.71755,0.86121,0.70236,1.33104,0.00040595,0.00040595,0.00040595
97,287.249,0.92177,0.90482,1.29152,0.84664,0.8728,0.89688,0.70878,0.85107,0.77069,1.32131,0.00040496,0.00040496,0.00040496
98,290.198,0.92451,0.91363,1.2931,0.93296,0.86257,0.90638,0.69859,0.87957,0.70766,1.34758,0.00040397,0.00040397,0.00040397
99,293.163,0.9244,0.87941,1.27948,0.90519,0.8759,0.90622,0.7126,0.8616,0.73857,1.33854,0.00040298,0.00040298,0.00040298
100,296.128,0.87596,0.86011,1.2435,0.91997,0.86719,0.90905,0.70987,0.86838,0.71217,1.34219,0.00040199,0.00040199,0.00040199
