epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.42237,3.95369,5.19466,4.34692,0,0,0,0,3.86252,5.06888,4.16251,5e-05,5e-05,5e-05
2,6.34391,3.89218,5.0996,4.25092,0,0,0,0,3.8784,5.07174,4.16598,0.000104792,0.000104792,0.000104792
3,9.25745,3.45165,4.92053,4.15976,0,0,0,0,3.91919,5.08288,4.17604,0.000159366,0.000159366,0.000159366
4,12.146,3.05874,4.65845,4.02799,0,0,0,0,3.98377,5.10416,4.20044,0.000213723,0.000213723,0.000213723
5,15.0502,2.87351,4.38187,3.75386,0,0,0,0,4.07003,5.13582,4.24126,0.000267862,0.000267862,0.000267862
6,17.9692,2.67833,4.16891,3.51143,0,0,0,0,4.13473,5.16161,4.28628,0.000321783,0.000321783,0.000321783
7,20.8658,2.49455,3.97487,3.35451,0,0,0,0,4.1605,5.1693,4.31526,0.000375486,0.000375486,0.000375486
8,23.7878,2.41571,3.78044,3.10405,0,0,0,0,4.16564,5.16387,4.33874,0.000428971,0.000428971,0.000428971
9,26.6929,2.30471,3.56243,2.94975,0,0,0,0,4.16218,5.1543,4.34072,0.000482238,0.000482238,0.000482238
10,29.5954,2.24856,3.35279,2.86599,0,0,0,0,4.17342,5.1495,4.35445,0.00049109,0.00049109,0.00049109
11,32.5074,2.18157,3.17205,2.74417,0,0,0,0,4.18189,5.15359,4.36846,0.0004901,0.0004901,0.0004901
12,35.4231,2.11871,2.99857,2.67377,0,0,0,0,4.14659,5.10156,4.30317,0.00048911,0.00048911,0.00048911
13,38.3316,2.03963,2.86368,2.54356,0,0,0,0,3.99564,4.73117,4.01079,0.00048812,0.00048812,0.00048812
14,41.2715,2.02877,2.78276,2.54768,0.04081,0.60722,0.12411,0.03101,3.36924,3.62884,3.37574,0.00048713,0.00048713,0.00048713
15,44.2294,1.88071,2.66943,2.37797,0.15067,0.63696,0.19264,0.05707,2.93294,3.00768,3.04555,0.00048614,0.00048614,0.00048614
16,47.1926,1.93263,2.60316,2.35264,0.40544,0.24689,0.28887,0.1748,1.6465,2.59009,2.37171,0.00048515,0.00048515,0.00048515
17,50.1563,1.86143,2.53949,2.33357,0.31802,0.36997,0.29397,0.15199,1.8647,2.62723,2.49783,0.00048416,0.00048416,0.00048416
18,53.1138,1.76488,2.47228,2.25648,0.46001,0.3937,0.35495,0.22267,1.50511,2.4595,2.3083,0.00048317,0.00048317,0.00048317
19,56.0807,1.70541,2.37106,2.16569,0.59233,0.38506,0.43029,0.27864,1.38163,2.42902,2.13739,0.00048218,0.00048218,0.00048218
20,59.0489,1.69006,2.32559,2.14198,0.66894,0.32134,0.4692,0.30699,1.3331,2.48718,2.07589,0.00048119,0.00048119,0.00048119
21,62.0103,1.65421,2.25817,2.08814,0.51971,0.40306,0.47422,0.3155,1.34188,2.40026,2.04653,0.0004802,0.0004802,0.0004802
22,64.9657,1.57103,2.11571,1.95618,0.57882,0.44774,0.54646,0.32438,1.45859,2.44382,2.11274,0.00047921,0.00047921,0.00047921
23,67.9454,1.66271,2.20001,2.03648,0.4616,0.56962,0.55298,0.33719,1.57273,2.0251,2.09573,0.00047822,0.00047822,0.00047822
24,70.9154,1.51355,2.04583,1.93431,0.65177,0.62104,0.65193,0.45213,1.31087,1.86055,1.93446,0.00047723,0.00047723,0.00047723
25,73.8656,1.43444,2.00609,1.92094,0.67963,0.59282,0.67979,0.49673,1.16511,2.00035,1.86203,0.00047624,0.00047624,0.00047624
26,76.8269,1.4987,1.99221,1.9046,0.59088,0.74032,0.71095,0.51146,1.1083,1.75314,1.82731,0.00047525,0.00047525,0.00047525
27,79.7934,1.40279,1.88326,1.84923,0.58053,0.76331,0.74199,0.51697,1.17876,1.62004,1.74732,0.00047426,0.00047426,0.00047426
28,82.7612,1.39714,1.86414,1.78532,0.69642,0.76715,0.77909,0.5628,1.1276,1.50951,1.69951,0.00047327,0.00047327,0.00047327
